x:image,y:label
.\Back_R2\PICT502.png,2
.\Back_R0\PICT569.png,0
.\Left_R1\PICT283.png,13
.\Bottom_R1\PICT405.png,5
.\Top_R2\PICT151.png,22
.\Top_R0\PICT185.png,20
.\Back_R1\PICT610.png,1
.\Bottom_R2\PICT377.png,6
.\Bottom_R2\PICT380.png,6
.\Back_R2\PICT508.png,2
.\empty\PICT041.png,24
.\Left_R0\PICT309.png,12
.\Back_R3\PICT581.png,3
.\Top_R2\PICT221.png,22
.\Right_R0\PICT054.png,16
.\Right_R0\PICT045.png,16
.\Front_R1\PICT687.png,9
.\Top_R3\PICT239.png,23
.\empty\PICT026.png,24
.\Top_R0\PICT180.png,20
.\Top_R3\PICT188.png,23
.\Right_R3\PICT042.png,19
.\Front_R0\PICT646.png,8
.\Front_R1\PICT698.png,9
.\Top_R1\PICT180.png,21
.\Front_R1\PICT630.png,9
.\Back_R0\PICT591.png,0
.\Left_R1\PICT270.png,13
.\Left_R0\PICT292.png,12
.\empty\PICT052.png,24
.\empty\PICT039.png,24
.\Back_R0\PICT579.png,0
.\Back_R1\PICT594.png,1
.\Right_R2\PICT077.png,18
.\Front_R2\PICT744.png,10
.\Right_R2\PICT017.png,18
.\Bottom_R2\PICT448.png,6
.\Bottom_R1\PICT418.png,5
.\Back_R1\PICT611.png,1
.\Right_R3\PICT080.png,19
.\Front_R2\PICT666.png,10
.\Left_R0\PICT352.png,12
.\Bottom_R2\PICT420.png,6
.\Top_R2\PICT152.png,22
.\Front_R3\PICT666.png,11
.\Right_R3\PICT041.png,19
.\Back_R1\PICT517.png,1
.\Left_R0\PICT306.png,12
.\Top_R1\PICT125.png,21
.\Bottom_R3\PICT449.png,7
.\Bottom_R1\PICT449.png,5
.\Front_R0\PICT666.png,8
.\Back_R0\PICT539.png,0
.\Left_R2\PICT357.png,14
.\Front_R2\PICT682.png,10
.\Bottom_R0\PICT479.png,4
.\Right_R1\PICT068.png,17
.\Bottom_R0\PICT437.png,4
.\Left_R1\PICT311.png,13
.\Back_R2\PICT609.png,2
.\Left_R3\PICT334.png,15
.\Front_R0\PICT693.png,8
.\Back_R2\PICT587.png,2
.\Back_R1\PICT507.png,1
.\Left_R3\PICT271.png,15
.\Back_R1\PICT571.png,1
.\Back_R1\PICT513.png,1
.\Left_R1\PICT341.png,13
.\Right_R1\PICT088.png,17
.\Left_R0\PICT294.png,12
.\Top_R2\PICT222.png,22
.\Front_R0\PICT692.png,8
.\Back_R2\PICT554.png,2
.\Right_R1\PICT023.png,17
.\Left_R3\PICT332.png,15
.\Bottom_R2\PICT476.png,6
.\Right_R1\PICT079.png,17
.\empty\PICT018.png,24
.\Front_R1\PICT688.png,9
.\empty\PICT107.png,24
.\Right_R1\PICT094.png,17
.\Front_R1\PICT708.png,9
.\Front_R3\PICT745.png,11
.\Front_R0\PICT700.png,8
.\Front_R2\PICT627.png,10
.\Top_R2\PICT170.png,22
.\Bottom_R1\PICT369.png,5
.\Front_R3\PICT625.png,11
.\Back_R3\PICT562.png,3
.\Top_R0\PICT221.png,20
.\Back_R2\PICT567.png,2
.\Top_R0\PICT168.png,20
.\Bottom_R3\PICT475.png,7
.\Top_R1\PICT202.png,21
.\Left_R0\PICT324.png,12
.\Top_R0\PICT123.png,20
.\Top_R1\PICT182.png,21
.\Bottom_R3\PICT398.png,7
.\Front_R3\PICT674.png,11
.\Back_R1\PICT542.png,1
.\Top_R1\PICT121.png,21
.\Back_R0\PICT506.png,0
.\Back_R2\PICT509.png,2
.\Left_R3\PICT327.png,15
.\Top_R3\PICT148.png,23
.\Back_R1\PICT523.png,1
.\Top_R1\PICT155.png,21
.\empty\PICT044.png,24
.\Back_R0\PICT599.png,0
.\Front_R0\PICT653.png,8
.\Left_R3\PICT312.png,15
.\Front_R0\PICT641.png,8
.\empty\PICT046.png,24
.\Back_R2\PICT579.png,2
.\Top_R2\PICT220.png,22
.\Front_R0\PICT664.png,8
.\Bottom_R2\PICT413.png,6
.\empty\PICT061.png,24
.\Back_R1\PICT532.png,1
.\Front_R0\PICT633.png,8
.\Back_R0\PICT610.png,0
.\Back_R1\PICT560.png,1
.\Right_R3\PICT110.png,19
.\Back_R3\PICT597.png,3
.\empty\PICT063.png,24
.\Top_R3\PICT210.png,23
.\Right_R3\PICT028.png,19
.\Back_R0\PICT580.png,0
.\empty\PICT031.png,24
.\Right_R1\PICT032.png,17
.\Top_R1\PICT173.png,21
.\Back_R1\PICT541.png,1
.\Top_R3\PICT231.png,23
.\Front_R1\PICT624.png,9
.\Left_R2\PICT358.png,14
.\Top_R3\PICT191.png,23
.\Top_R2\PICT179.png,22
.\Left_R2\PICT295.png,14
.\Back_R3\PICT585.png,3
.\Top_R3\PICT183.png,23
.\Bottom_R3\PICT466.png,7
.\Right_R1\PICT084.png,17
.\Right_R0\PICT059.png,16
.\Top_R1\PICT218.png,21
.\Back_R0\PICT510.png,0
.\Top_R1\PICT193.png,21
.\Back_R2\PICT569.png,2
.\Front_R3\PICT690.png,11
.\Top_R3\PICT128.png,23
.\Top_R1\PICT183.png,21
.\Front_R0\PICT637.png,8
.\Bottom_R0\PICT466.png,4
.\Front_R2\PICT724.png,10
.\Top_R2\PICT229.png,22
.\Top_R2\PICT161.png,22
.\Right_R0\PICT074.png,16
.\Front_R2\PICT725.png,10
.\Bottom_R0\PICT448.png,4
.\Back_R1\PICT544.png,1
.\Bottom_R3\PICT394.png,7
.\Left_R0\PICT364.png,12
.\Left_R3\PICT347.png,15
.\Left_R0\PICT295.png,12
.\Right_R2\PICT086.png,18
.\Top_R3\PICT187.png,23
.\Bottom_R1\PICT416.png,5
.\Top_R0\PICT152.png,20
.\Front_R1\PICT677.png,9
.\Back_R0\PICT568.png,0
.\Top_R2\PICT162.png,22
.\Left_R0\PICT340.png,12
.\Back_R0\PICT558.png,0
.\Bottom_R2\PICT449.png,6
.\Bottom_R0\PICT418.png,4
.\Front_R2\PICT624.png,10
.\Front_R3\PICT742.png,11
.\Right_R2\PICT073.png,18
.\Bottom_R3\PICT371.png,7
.\Back_R3\PICT489.png,3
.\Left_R1\PICT251.png,13
.\Right_R0\PICT097.png,16
.\Top_R0\PICT136.png,20
.\Left_R1\PICT278.png,13
.\empty\PICT006.png,24
.\Left_R1\PICT306.png,13
.\Front_R0\PICT671.png,8
.\Front_R0\PICT615.png,8
.\Front_R3\PICT694.png,11
.\Back_R1\PICT612.png,1
.\Right_R0\PICT021.png,16
.\Right_R0\PICT088.png,16
.\Left_R2\PICT244.png,14
.\Left_R3\PICT264.png,15
.\Left_R3\PICT258.png,15
.\Left_R1\PICT285.png,13
.\Front_R0\PICT716.png,8
.\Left_R0\PICT302.png,12
.\empty\PICT092.png,24
.\Back_R0\PICT540.png,0
.\Top_R1\PICT210.png,21
.\Front_R3\PICT727.png,11
.\Front_R3\PICT638.png,11
.\Back_R1\PICT485.png,1
.\Back_R0\PICT590.png,0
.\Bottom_R0\PICT474.png,4
.\empty\PICT021.png,24
.\Right_R2\PICT079.png,18
.\Right_R2\PICT103.png,18
.\Back_R3\PICT592.png,3
.\Front_R0\PICT658.png,8
.\Front_R2\PICT720.png,10
.\Right_R0\PICT012.png,16
.\Left_R3\PICT289.png,15
.\Back_R1\PICT502.png,1
.\Back_R2\PICT595.png,2
.\Back_R1\PICT606.png,1
.\Bottom_R0\PICT454.png,4
.\Left_R3\PICT301.png,15
.\Top_R3\PICT215.png,23
.\Back_R2\PICT574.png,2
.\Back_R0\PICT509.png,0
.\Right_R3\PICT090.png,19
.\Top_R0\PICT160.png,20
.\empty\PICT065.png,24
.\Bottom_R2\PICT372.png,6
.\Bottom_R2\PICT436.png,6
.\Bottom_R2\PICT405.png,6
.\Front_R0\PICT652.png,8
.\Front_R0\PICT624.png,8
.\Left_R1\PICT286.png,13
.\Right_R2\PICT081.png,18
.\Top_R2\PICT233.png,22
.\Back_R0\PICT524.png,0
.\Left_R0\PICT304.png,12
.\Front_R2\PICT669.png,10
.\Bottom_R1\PICT394.png,5
.\Back_R3\PICT559.png,3
.\Back_R3\PICT572.png,3
.\Left_R1\PICT328.png,13
.\empty\PICT017.png,24
.\Left_R0\PICT269.png,12
.\Right_R0\PICT103.png,16
.\empty\PICT108.png,24
.\Back_R2\PICT521.png,2
.\Front_R3\PICT629.png,11
.\Back_R2\PICT546.png,2
.\Left_R2\PICT283.png,14
.\Left_R1\PICT322.png,13
.\Front_R0\PICT642.png,8
.\Left_R1\PICT297.png,13
.\Front_R0\PICT660.png,8
.\Right_R2\PICT097.png,18
.\Left_R1\PICT353.png,13
.\Bottom_R3\PICT462.png,7
.\Right_R2\PICT093.png,18
.\Top_R2\PICT226.png,22
.\Bottom_R1\PICT467.png,5
.\Bottom_R3\PICT423.png,7
.\Left_R2\PICT267.png,14
.\Back_R0\PICT562.png,0
.\Top_R3\PICT198.png,23
.\Right_R0\PICT055.png,16
.\Left_R0\PICT314.png,12
.\Back_R0\PICT598.png,0
.\Front_R1\PICT656.png,9
.\Bottom_R3\PICT380.png,7
.\Right_R0\PICT089.png,16
.\Front_R1\PICT721.png,9
.\Left_R2\PICT293.png,14
.\Left_R3\PICT259.png,15
.\empty\PICT088.png,24
.\Right_R1\PICT096.png,17
.\Left_R2\PICT364.png,14
.\Left_R3\PICT302.png,15
.\Front_R0\PICT659.png,8
.\empty\PICT012.png,24
.\Left_R2\PICT274.png,14
.\Left_R0\PICT288.png,12
.\Top_R0\PICT224.png,20
.\Right_R0\PICT018.png,16
.\Back_R0\PICT550.png,0
.\Front_R2\PICT655.png,10
.\Left_R2\PICT319.png,14
.\Bottom_R1\PICT410.png,5
.\Right_R1\PICT092.png,17
.\Bottom_R3\PICT451.png,7
.\Left_R0\PICT334.png,12
.\Left_R0\PICT366.png,12
.\Left_R2\PICT339.png,14
.\Back_R3\PICT514.png,3
.\Front_R1\PICT643.png,9
.\empty\PICT104.png,24
.\Front_R1\PICT731.png,9
.\Left_R3\PICT318.png,15
.\Top_R2\PICT181.png,22
.\Front_R0\PICT697.png,8
.\Right_R3\PICT014.png,19
.\Front_R1\PICT695.png,9
.\empty\PICT111.png,24
.\Back_R1\PICT577.png,1
.\Front_R2\PICT660.png,10
.\Left_R1\PICT266.png,13
.\Front_R3\PICT692.png,11
.\Back_R0\PICT523.png,0
.\Top_R2\PICT205.png,22
.\Left_R3\PICT341.png,15
.\Bottom_R1\PICT478.png,5
.\Bottom_R3\PICT385.png,7
.\Left_R1\PICT307.png,13
.\Front_R0\PICT728.png,8
.\Back_R0\PICT493.png,0
.\Left_R3\PICT344.png,15
.\Back_R3\PICT482.png,3
.\Right_R1\PICT039.png,17
.\Top_R1\PICT153.png,21
.\Top_R2\PICT122.png,22
.\Bottom_R3\PICT432.png,7
.\Top_R2\PICT239.png,22
.\Top_R0\PICT158.png,20
.\Front_R3\PICT698.png,11
.\Top_R1\PICT176.png,21
.\Front_R0\PICT711.png,8
.\Front_R1\PICT621.png,9
.\Bottom_R3\PICT401.png,7
.\Front_R3\PICT616.png,11
.\Top_R2\PICT230.png,22
.\Left_R3\PICT333.png,15
.\Front_R1\PICT699.png,9
.\Top_R0\PICT240.png,20
.\Bottom_R0\PICT465.png,4
.\Left_R1\PICT308.png,13
.\Front_R2\PICT716.png,10
.\Front_R3\PICT687.png,11
.\Front_R3\PICT673.png,11
.\Front_R2\PICT617.png,10
.\Top_R0\PICT120.png,20
.\Top_R0\PICT242.png,20
.\Left_R0\PICT311.png,12
.\Left_R3\PICT309.png,15
.\Top_R1\PICT184.png,21
.\Left_R3\PICT293.png,15
.\Top_R2\PICT241.png,22
.\Front_R1\PICT679.png,9
.\Bottom_R0\PICT405.png,4
.\Top_R1\PICT139.png,21
.\Back_R2\PICT584.png,2
.\Back_R1\PICT482.png,1
.\Back_R2\PICT496.png,2
.\Left_R0\PICT323.png,12
.\Front_R3\PICT735.png,11
.\Left_R1\PICT293.png,13
.\Front_R0\PICT699.png,8
.\Front_R3\PICT728.png,11
.\Back_R3\PICT522.png,3
.\Front_R3\PICT726.png,11
.\Top_R0\PICT176.png,20
.\Back_R2\PICT543.png,2
.\empty\PICT064.png,24
.\Top_R0\PICT239.png,20
.\Top_R2\PICT135.png,22
.\Left_R0\PICT259.png,12
.\Right_R3\PICT018.png,19
.\Left_R3\PICT340.png,15
.\Bottom_R2\PICT418.png,6
.\Back_R1\PICT540.png,1
.\empty\PICT082.png,24
.\Front_R1\PICT724.png,9
.\Right_R1\PICT093.png,17
.\Bottom_R0\PICT369.png,4
.\Bottom_R2\PICT462.png,6
.\Bottom_R0\PICT475.png,4
.\Bottom_R3\PICT437.png,7
.\Right_R1\PICT116.png,17
.\Right_R0\PICT110.png,16
.\Bottom_R3\PICT465.png,7
.\Front_R3\PICT659.png,11
.\Bottom_R1\PICT400.png,5
.\Back_R3\PICT612.png,3
.\Back_R0\PICT575.png,0
.\Bottom_R0\PICT428.png,4
.\Front_R0\PICT670.png,8
.\Back_R0\PICT541.png,0
.\Back_R2\PICT526.png,2
.\Front_R1\PICT684.png,9
.\Top_R0\PICT161.png,20
.\Front_R1\PICT623.png,9
.\Bottom_R3\PICT381.png,7
.\Top_R2\PICT185.png,22
.\Left_R2\PICT334.png,14
.\Front_R0\PICT620.png,8
.\Right_R3\PICT103.png,19
.\Top_R2\PICT154.png,22
.\Top_R1\PICT187.png,21
.\Right_R2\PICT095.png,18
.\Right_R3\PICT104.png,19
.\Bottom_R3\PICT403.png,7
.\Left_R2\PICT331.png,14
.\Back_R3\PICT491.png,3
.\Right_R1\PICT034.png,17
.\Front_R1\PICT659.png,9
.\Right_R1\PICT022.png,17
.\empty\PICT116.png,24
.\Back_R3\PICT574.png,3
.\Top_R3\PICT224.png,23
.\Left_R1\PICT273.png,13
.\Back_R2\PICT600.png,2
.\Left_R2\PICT279.png,14
.\Right_R3\PICT043.png,19
.\Left_R0\PICT303.png,12
.\Front_R2\PICT731.png,10
.\Top_R1\PICT236.png,21
.\Back_R0\PICT597.png,0
.\Left_R3\PICT248.png,15
.\Front_R3\PICT706.png,11
.\Front_R2\PICT739.png,10
.\Bottom_R1\PICT447.png,5
.\Front_R2\PICT626.png,10
.\Back_R0\PICT603.png,0
.\Left_R3\PICT322.png,15
.\Right_R2\PICT068.png,18
.\Right_R1\PICT064.png,17
.\Bottom_R1\PICT368.png,5
.\Bottom_R3\PICT455.png,7
.\Front_R0\PICT738.png,8
.\Back_R0\PICT567.png,0
.\Top_R2\PICT127.png,22
.\Back_R1\PICT557.png,1
.\Bottom_R1\PICT436.png,5
.\Top_R1\PICT170.png,21
.\Back_R0\PICT501.png,0
.\Right_R0\PICT093.png,16
.\Back_R1\PICT566.png,1
.\Top_R3\PICT119.png,23
.\Bottom_R2\PICT446.png,6
.\Front_R2\PICT637.png,10
.\Left_R2\PICT341.png,14
.\Bottom_R1\PICT471.png,5
.\Top_R3\PICT177.png,23
.\Bottom_R0\PICT387.png,4
.\Bottom_R0\PICT452.png,4
.\Front_R1\PICT648.png,9
.\Bottom_R1\PICT451.png,5
.\Top_R3\PICT219.png,23
.\Back_R2\PICT601.png,2
.\Top_R3\PICT190.png,23
.\Bottom_R2\PICT385.png,6
.\Left_R2\PICT268.png,14
.\Top_R1\PICT141.png,21
.\Front_R0\PICT701.png,8
.\Left_R2\PICT288.png,14
.\Front_R1\PICT675.png,9
.\Back_R1\PICT497.png,1
.\Back_R1\PICT572.png,1
.\Back_R3\PICT589.png,3
.\Front_R3\PICT615.png,11
.\empty\PICT103.png,24
.\Right_R0\PICT117.png,16
.\Left_R1\PICT310.png,13
.\Left_R0\PICT353.png,12
.\Back_R1\PICT528.png,1
.\Top_R2\PICT140.png,22
.\Bottom_R1\PICT468.png,5
.\Bottom_R2\PICT443.png,6
.\Top_R3\PICT233.png,23
.\Back_R2\PICT544.png,2
.\Right_R3\PICT077.png,19
.\Front_R1\PICT663.png,9
.\Back_R3\PICT496.png,3
.\Back_R2\PICT485.png,2
.\Front_R3\PICT743.png,11
.\Left_R2\PICT312.png,14
.\Bottom_R1\PICT401.png,5
.\Front_R1\PICT622.png,9
.\Top_R3\PICT211.png,23
.\Front_R2\PICT730.png,10
.\empty\PICT094.png,24
.\Top_R2\PICT186.png,22
.\Left_R1\PICT275.png,13
.\Back_R1\PICT602.png,1
.\Right_R2\PICT049.png,18
.\Right_R1\PICT071.png,17
.\Bottom_R0\PICT456.png,4
.\Bottom_R3\PICT422.png,7
.\Right_R2\PICT022.png,18
.\Top_R0\PICT183.png,20
.\Front_R0\PICT675.png,8
.\Front_R0\PICT635.png,8
.\Front_R2\PICT654.png,10
.\Top_R3\PICT192.png,23
.\Right_R3\PICT037.png,19
.\Back_R3\PICT547.png,3
.\Front_R1\PICT736.png,9
.\Right_R2\PICT112.png,18
.\Right_R1\PICT041.png,17
.\Right_R3\PICT052.png,19
.\Front_R2\PICT692.png,10
.\Right_R3\PICT012.png,19
.\Left_R2\PICT305.png,14
.\Top_R2\PICT123.png,22
.\Back_R3\PICT587.png,3
.\Top_R2\PICT234.png,22
.\Left_R2\PICT278.png,14
.\Back_R1\PICT480.png,1
.\Top_R1\PICT201.png,21
.\Left_R2\PICT247.png,14
.\Top_R1\PICT196.png,21
.\Bottom_R2\PICT471.png,6
.\Top_R1\PICT208.png,21
.\Right_R2\PICT028.png,18
.\Top_R0\PICT218.png,20
.\Top_R2\PICT214.png,22
.\Back_R0\PICT564.png,0
.\Front_R2\PICT675.png,10
.\Bottom_R0\PICT371.png,4
.\Top_R1\PICT197.png,21
.\Top_R0\PICT227.png,20
.\Back_R2\PICT533.png,2
.\Front_R3\PICT671.png,11
.\Back_R1\PICT538.png,1
.\Back_R2\PICT481.png,2
.\Back_R0\PICT486.png,0
.\Front_R0\PICT684.png,8
.\Top_R1\PICT205.png,21
.\Front_R2\PICT623.png,10
.\Bottom_R1\PICT430.png,5
.\Bottom_R1\PICT464.png,5
.\Left_R1\PICT272.png,13
.\Back_R3\PICT586.png,3
.\Bottom_R3\PICT404.png,7
.\Bottom_R0\PICT384.png,4
.\Back_R3\PICT518.png,3
.\Right_R1\PICT103.png,17
.\Left_R1\PICT289.png,13
.\Front_R3\PICT652.png,11
.\Back_R3\PICT593.png,3
.\Bottom_R3\PICT377.png,7
.\Back_R0\PICT592.png,0
.\Front_R0\PICT712.png,8
.\Right_R3\PICT021.png,19
.\Bottom_R0\PICT464.png,4
.\Right_R0\PICT041.png,16
.\Back_R2\PICT541.png,2
.\Right_R3\PICT045.png,19
.\Back_R0\PICT488.png,0
.\Bottom_R0\PICT461.png,4
.\Back_R3\PICT596.png,3
.\Back_R2\PICT515.png,2
.\Bottom_R0\PICT449.png,4
.\Right_R1\PICT024.png,17
.\Right_R1\PICT044.png,17
.\Top_R3\PICT186.png,23
.\Right_R2\PICT060.png,18
.\Left_R2\PICT324.png,14
.\Right_R2\PICT030.png,18
.\Bottom_R2\PICT479.png,6
.\Right_R1\PICT115.png,17
.\Bottom_R1\PICT391.png,5
.\Right_R2\PICT014.png,18
.\Top_R1\PICT148.png,21
.\Back_R2\PICT524.png,2
.\Back_R3\PICT530.png,3
.\Top_R0\PICT170.png,20
.\Right_R1\PICT111.png,17
.\Back_R1\PICT552.png,1
.\Back_R3\PICT502.png,3
.\empty\PICT085.png,24
.\Left_R1\PICT345.png,13
.\Left_R0\PICT296.png,12
.\Left_R1\PICT363.png,13
.\Back_R2\PICT563.png,2
.\Back_R0\PICT587.png,0
.\Top_R0\PICT213.png,20
.\Right_R2\PICT051.png,18
.\Back_R0\PICT611.png,0
.\Back_R1\PICT521.png,1
.\Right_R0\PICT114.png,16
.\Right_R3\PICT061.png,19
.\Front_R0\PICT710.png,8
.\Back_R0\PICT548.png,0
.\Left_R0\PICT330.png,12
.\Front_R2\PICT687.png,10
.\Front_R3\PICT624.png,11
.\Left_R1\PICT255.png,13
.\Top_R0\PICT230.png,20
.\Right_R1\PICT091.png,17
.\Front_R2\PICT640.png,10
.\Front_R1\PICT670.png,9
.\Bottom_R2\PICT441.png,6
.\Bottom_R2\PICT444.png,6
.\Right_R1\PICT067.png,17
.\Front_R3\PICT700.png,11
.\Top_R3\PICT146.png,23
.\empty\PICT093.png,24
.\Right_R2\PICT048.png,18
.\Top_R0\PICT147.png,20
.\Left_R1\PICT302.png,13
.\Bottom_R0\PICT368.png,4
.\Top_R3\PICT197.png,23
.\Bottom_R0\PICT410.png,4
.\Front_R2\PICT709.png,10
.\Front_R2\PICT632.png,10
.\Left_R2\PICT248.png,14
.\Right_R1\PICT073.png,17
.\Front_R1\PICT730.png,9
.\Bottom_R2\PICT397.png,6
.\Back_R1\PICT493.png,1
.\Right_R3\PICT054.png,19
.\Left_R1\PICT280.png,13
.\Right_R3\PICT071.png,19
.\Back_R1\PICT490.png,1
.\Back_R3\PICT507.png,3
.\Right_R0\PICT011.png,16
.\Back_R0\PICT549.png,0
.\Front_R1\PICT701.png,9
.\Top_R3\PICT170.png,23
.\Back_R1\PICT607.png,1
.\Bottom_R0\PICT376.png,4
.\Front_R2\PICT737.png,10
.\Left_R0\PICT362.png,12
.\Bottom_R3\PICT468.png,7
.\Top_R0\PICT172.png,20
.\Bottom_R3\PICT474.png,7
.\Front_R3\PICT721.png,11
.\Front_R3\PICT636.png,11
.\Front_R1\PICT693.png,9
.\Back_R0\PICT542.png,0
.\Bottom_R2\PICT447.png,6
.\Top_R3\PICT160.png,23
.\Front_R2\PICT684.png,10
.\Top_R2\PICT129.png,22
.\Left_R3\PICT303.png,15
.\empty\PICT114.png,24
.\Left_R0\PICT301.png,12
.\Top_R1\PICT174.png,21
.\Right_R3\PICT034.png,19
.\Front_R3\PICT648.png,11
.\Right_R0\PICT094.png,16
.\Top_R0\PICT184.png,20
.\Left_R2\PICT344.png,14
.\Left_R3\PICT252.png,15
.\Bottom_R0\PICT431.png,4
.\Bottom_R3\PICT460.png,7
.\Back_R1\PICT549.png,1
.\empty\PICT066.png,24
.\Bottom_R2\PICT456.png,6
.\Bottom_R2\PICT442.png,6
.\Right_R3\PICT044.png,19
.\Back_R3\PICT601.png,3
.\Back_R1\PICT505.png,1
.\Back_R2\PICT500.png,2
