x:image,y:label
.\corn_edit\PICT062.png,1
.\back_ground_square\PICT043.png,0
.\back_ground_square\PICT067.png,0
.\back_ground_square\PICT095.png,0
.\back_ground_square\PICT013.png,0
.\back_ground_square\PICT064.png,0
.\corn_edit\PICT003.png,1
.\corn_edit\PICT079.png,1
.\corn_edit\PICT007.png,1
.\back_ground_square\PICT110.png,0
.\corn_edit\PICT047.png,1
.\corn_edit\PICT021.png,1
.\corn_edit\PICT063.png,1
.\corn_edit\PICT077.png,1
.\corn_edit\PICT082.png,1
.\back_ground_square\PICT021.png,0
.\corn_edit\PICT008.png,1
.\corn_edit\PICT114.png,1
.\back_ground_square\PICT084.png,0
.\corn_edit\PICT088.png,1
.\back_ground_square\PICT052.png,0
.\corn_edit\PICT091.png,1
.\corn_edit\PICT054.png,1
.\corn_edit\PICT043.png,1
.\corn_edit\PICT044.png,1
.\corn_edit\PICT118.png,1
.\back_ground_square\PICT120.png,0
.\back_ground_square\PICT015.png,0
.\back_ground_square\PICT003.png,0
.\corn_edit\PICT019.png,1
.\back_ground_square\PICT004.png,0
.\back_ground_square\PICT017.png,0
.\corn_edit\PICT090.png,1
.\corn_edit\PICT004.png,1
.\corn_edit\PICT075.png,1
.\corn_edit\PICT012.png,1
.\back_ground_square\PICT072.png,0
.\corn_edit\PICT056.png,1
.\corn_edit\PICT015.png,1
.\back_ground_square\PICT035.png,0
.\back_ground_square\PICT090.png,0
.\corn_edit\PICT057.png,1
.\corn_edit\PICT092.png,1
.\back_ground_square\PICT055.png,0
.\corn_edit\PICT064.png,1
.\corn_edit\PICT071.png,1
.\corn_edit\PICT105.png,1
.\corn_edit\PICT104.png,1
