x:image,y:label
.\corn_square\PICT042.png,1
.\corn_square\PICT034 -(3).png,1
.\corn_square\PICT020 -.png,1
.\corn_square\PICT068 -(2).png,1
.\corn_square\PICT021.png,1
.\back_ground_square\PICT027.png,0
.\corn_square\PICT049 -(3).png,1
.\corn_square\PICT043 -(2).png,1
.\corn_square\PICT022 -(2).png,1
.\corn_square\PICT008 -.png,1
.\back_ground_square\PICT045.png,0
.\corn_square\PICT023 -(3).png,1
.\corn_square\PICT062.png,1
.\corn_square\PICT061 -(2).png,1
.\corn_square\PICT035 -.png,1
.\corn_square\PICT018.png,1
.\corn_square\PICT052 -(3).png,1
.\corn_square\PICT025 -(3).png,1
.\corn_square\PICT058 -.png,1
.\corn_square\PICT010 -(3).png,1
.\corn_square\PICT041.png,1
.\corn_square\PICT040 -(2).png,1
.\corn_square\PICT047 (2).png,1
.\corn_square\PICT054 -(2).png,1
.\corn_square\PICT062 -(3).png,1
.\back_ground_square\PICT041.png,0
.\corn_square\PICT009 -(2).png,1
.\corn_square\PICT060 .png,1
.\corn_square\PICT009.png,1
.\corn_square\PICT017 .png,1
.\corn_square\PICT011.png,1
.\corn_square\PICT033 -(2).png,1
.\corn_square\PICT046 (3).png,1
.\corn_square\PICT046.png,1
.\corn_square\PICT055 -(3).png,1
.\corn_square\PICT001.png,1
.\back_ground_square\PICT026.png,0
.\corn_square\PICT056 -(2).png,1
.\corn_square\PICT051 -(3).png,1
.\corn_square\PICT016 -.png,1
.\corn_square\PICT016 - (3).png,1
.\back_ground_square\PICT018.png,0
.\corn_square\PICT030 -(2).png,1
.\back_ground_square\PICT054.png,0
.\back_ground_square\PICT056.png,0
.\back_ground_square\PICT062.png,0
.\corn_square\PICT015 -.png,1
.\corn_square\PICT032.png,1
.\corn_square\PICT042 (2).png,1
.\corn_square\PICT041 -.png,1
.\corn_square\PICT054 -.png,1
.\corn_square\PICT063 -(2).png,1
.\corn_square\PICT043 -.png,1
.\corn_square\PICT017 -(2).png,1
.\corn_square\PICT045.png,1
.\corn_square\PICT002 -(3).png,1
.\back_ground_square\PICT042.png,0
.\corn_square\PICT011 -.png,1
.\corn_square\PICT044 -.png,1
.\corn_square\PICT007 -(2).png,1
.\corn_square\PICT052 -.png,1
.\corn_square\PICT060 -(3).png,1
.\corn_square\PICT042(3).png,1
.\corn_square\PICT038 -.png,1
.\corn_square\PICT026 -(2).png,1
.\corn_square\PICT024.png,1
.\corn_square\PICT059 -(2).png,1
.\corn_square\PICT057 -(3).png,1
.\corn_square\PICT069 -(3).png,1
.\back_ground_square\PICT058.png,0
.\corn_square\PICT027.png,1
.\corn_square\PICT029 -(3).png,1
.\corn_square\PICT046 .png,1
.\corn_square\PICT027 -(2).png,1
.\corn_square\PICT067 -(2).png,1
.\corn_square\PICT012 -(2).png,1
.\back_ground_square\PICT066.png,0
.\corn_square\PICT060.png,1
.\corn_square\PICT050 -.png,1
.\corn_square\PICT069.png,1
.\corn_square\PICT048 -(2).png,1
.\back_ground_square\PICT036.png,0
.\corn_square\PICT014 -(3).png,1
.\corn_square\PICT008 -(3).png,1
.\corn_square\PICT023 -(2).png,1
.\corn_square\PICT025 -(2).png,1
.\corn_square\PICT053 -(2).png,1
.\corn_square\PICT039 -(3).png,1
.\back_ground_square\PICT043.png,0
.\corn_square\PICT037 -(2).png,1
.\corn_square\PICT065 -.png,1
.\back_ground_square\PICT048.png,0
.\corn_square\PICT018 -.png,1
.\back_ground_square\PICT020.png,0
.\corn_square\PICT042 .png,1
.\back_ground_square\PICT001.png,0
.\corn_square\PICT054 -(3).png,1
.\corn_square\PICT015.png,1
.\back_ground_square\PICT014.png,0
.\back_ground_square\PICT016.png,0
.\corn_square\PICT031 -(3).png,1
.\back_ground_square\PICT060.png,0
.\corn_square\PICT017 -(3).png,1
.\corn_square\PICT036 - (2).png,1
.\corn_square\PICT037.png,1
.\back_ground_square\PICT047.png,0
.\corn_square\PICT059 -.png,1
.\corn_square\PICT001(3).png,1
.\corn_square\PICT025 -.png,1
.\corn_square\PICT062 -.png,1
.\corn_square\PICT051 -(2).png,1
.\corn_square\PICT045 -(2).png,1
.\corn_square\PICT005 (3).png,1
.\corn_square\PICT063 - (3).png,1
.\corn_square\PICT030.png,1
.\corn_square\PICT027 -(3).png,1
.\corn_square\PICT012 -(3).png,1
.\corn_square\PICT050.png,1
.\back_ground_square\PICT019.png,0
.\corn_square\PICT041 - (3).png,1
.\corn_square\PICT036.png,1
.\corn_square\PICT068 -.png,1
.\corn_square\PICT053 -.png,1
.\corn_square\PICT049 -(2).png,1
.\corn_square\PICT040.png,1
.\corn_square\PICT063.png,1
.\corn_square\PICT022 -(3).png,1
.\back_ground_square\PICT010.png,0
.\back_ground_square\PICT040.png,0
.\corn_square\PICT007 -.png,1
.\corn_square\PICT039 -.png,1
.\corn_square\PICT014.png,1
.\corn_square\PICT047.png,1
.\back_ground_square\PICT064.png,0
.\corn_square\PICT067.png,1
.\corn_square\PICT061 -.png,1
.\corn_square\PICT029.png,1
.\corn_square\PICT004.png,1
.\corn_square\PICT069 -.png,1
.\corn_square\PICT001(2).png,1
.\corn_square\PICT059.png,1
.\corn_square\PICT041 -(2).png,1
.\corn_square\PICT034 - (2).png,1
.\corn_square\PICT006.png,1
.\back_ground_square\PICT029.png,0
.\back_ground_square\PICT034.png,0
.\back_ground_square\PICT031.png,0
.\corn_square\PICT010 -.png,1
.\corn_square\PICT024 -(3).png,1
.\back_ground_square\PICT063.png,0
.\corn_square\PICT033 -.png,1
.\corn_square\PICT018 -(3).png,1
.\corn_square\PICT057 -(2).png,1
.\corn_square\PICT025.png,1
.\corn_square\PICT030 -(3).png,1
.\corn_square\PICT064 -(3).png,1
.\back_ground_square\PICT067.png,0
.\back_ground_square\PICT046.png,0
.\corn_square\PICT022.png,1
.\corn_square\PICT004 -(3).png,1
.\back_ground_square\PICT030.png,0
.\corn_square\PICT003 -(3).png,1
.\back_ground_square\PICT002.png,0
.\corn_square\PICT022 -.png,1
.\corn_square\PICT059 -(3).png,1
.\back_ground_square\PICT015.png,0
.\back_ground_square\PICT003.png,0
.\corn_square\PICT053 -(3).png,1
.\corn_square\PICT019 -(3).png,1
.\corn_square\PICT060 -(2).png,1
.\back_ground_square\PICT061.png,0
.\back_ground_square\PICT055.png,0
.\corn_square\PICT020.png,1
.\corn_square\PICT034.png,1
.\back_ground_square\PICT033.png,0
.\corn_square\PICT038 -(3).png,1
.\back_ground_square\PICT051.png,0
.\corn_square\PICT001 -.png,1
.\back_ground_square\PICT059.png,0
.\corn_square\PICT068 -(3).png,1
.\back_ground_square\PICT035.png,0
.\corn_square\PICT070 -(2).png,1
.\corn_square\PICT033 -(3).png,1
.\corn_square\PICT026 -(3).png,1
.\corn_square\PICT011 -(2).png,1
.\corn_square\PICT057.png,1
.\corn_square\PICT031.png,1
.\corn_square\PICT064 -(2).png,1
.\corn_square\PICT009 -.png,1
.\corn_square\PICT004 -(2).png,1
.\corn_square\PICT012 -.png,1
.\corn_square\PICT070 -.png,1
.\back_ground_square\PICT017.png,0
.\corn_square\PICT049 .png,1
.\corn_square\PICT056 -.png,1
.\corn_square\PICT028 -.png,1
.\corn_square\PICT039.png,1
.\back_ground_square\PICT013.png,0
