x:image,y:label
.\back_ground_square\PICT007.png,0
.\back_ground_square\PICT111.png,0
.\back_ground_square\PICT046.png,0
.\back_ground_square\PICT095.png,0
.\back_ground_square\PICT085.png,0
.\back_ground_square\PICT013.png,0
.\corn_square\PICT065.png,1
.\back_ground_square\PICT089.png,0
.\back_ground_square\PICT073.png,0
.\corn_square\PICT017.png,1
.\corn_square\PICT088.png,1
.\corn_square\PICT073.png,1
.\corn_square\PICT082.png,1
.\back_ground_square\PICT090.png,0
.\corn_square\PICT060.png,1
.\back_ground_square\PICT076.png,0
.\corn_square\PICT089.png,1
.\back_ground_square\PICT004.png,0
.\corn_square\PICT107.png,1
.\back_ground_square\PICT080.png,0
.\corn_square\PICT010.png,1
.\back_ground_square\PICT054.png,0
.\corn_square\PICT078.png,1
.\back_ground_square\PICT005.png,0
.\back_ground_square\PICT043.png,0
.\corn_square\PICT119.png,1
